Sn,CODE,Department,Tags,Degree,Hostel,Year of Graduation,City,Country,Designation,Institution,Work Profile,,
122,MC 110,Humanities & Social Science,Management consulting,Doctor of Philosophy - Ph.D.  / D.Phil.,Hostel 11,2009,Mumbai,India,"Head - Talent Management, Diversity & Inclusion",Blue Star Ltd.,"Talent Management, Diversity & Inclusion, Job Evaluation, Succession Planning, Organizational Development, Employee Engagement",,
123,MC 111,Electrical Engineering,Management consulting,Dual Degree - B. Tech. & M. Tech.,Hostel 4,2006,Delhi,India,APAC Operations Head,Joulon,Managing contract operations with multiple oil and gas customers.,,
124,MC 112,Electrical Engineering,Management consulting,Dual Degree - B. Tech. & M. Tech.,Hostel 5,2010,Singapore,Singapore,Project Leader,BCG,Consulting, Investing,
125,MC 113,Mechanical Engineering,Management consulting,Dual Degree - B. Tech. & M. Tech.,Hostel 4,2002,Cerritos,United States,"VP, Sales Operations",Apria Healthcare,"Data analytics, mining, sales operations",,
126,MC 114,Shailesh J. Mehta School of Management,"Management Consulting, P",Master of Management - M.M. / M.Mgt. / M.Mgmt.,Hostel 12,2010,Bengaluru,India,Program Manager,Ernst and Young,Program Management,,
127,MG 115,Metallurgical Engineering & Materials Science,Management,Bachelor of Technology - B.Tech.,Hostel 9,1991,Rourkela,India,AGM(MM),Steel Authority of India Ltd,Working in Materials Management Was Core Team member for implementation of MM module of SAP. Presently assigned as Technical Assistant to Executive Director (Materials Management) and Process Owner for implementation of SRM double of SAP.,,
128,DO 108,Physics,Other,Bachelor of Technology - B.Tech.,Hostel 7,2003,Mumbai,India,Head,ISKCON,Educator and Life Coach,,
129,RS 101,Chemistry,Research,Dual Degree - B. Tech. & M. Tech.,Hostel 9,2005,New Delhi,India,Scientist,CSIR- National Physical Laboratory,I am working on Nano-electronic devices and Quantum Metrology. Scientific research in the field of Physical Sciences is my broad area.,,
130,RS 102,Biosciences & Bioengineering,Research,Master of Science - M.Sc. / S.M.,Hostel 9,1993,Aurangabad,India,AVP,Wockhardt,Developing biotechnology based therapeutics.,,
131,RS 103,Centre for Environmental Science & Engineering - CESE,Research,Master of Technology - M.Tech.,Hostel 9,2014,Singapore,Singapore,PhD Candidate,SUTD-MIT International Design Centre,"Design Innovation, Sustainability, Cities, Technology and Public Policy",,
132,RS 104,Other,Research,Master of Science - M.Sc. / S.M.,Hostel 13,2004,New Delhi,India,Senior Research Scientist,Bharat Petroleum Corporation Limited,R&D,,
133,RS 105,Electrical Engineering,Research,Master of Technology - M.Tech.,Hostel 14,2011,Bangalore,India,Senior Data Scientist,Myntra Designs Pvt. Ltd.,Working in the Data Sciences. Especially in the deep learning with fashion images.,,
134,RS 106,Electrical Engineering,Research,Bachelor of Technology - B.Tech.,Hostel 8,1982,Pune,India,CTO,Bohiyaanam Technology (P) Ltd.,16 years of experience with Bell Laboratories in software product development and integration. 16 years of entrepreneurial experience.,,
135,RS 107,Aerospace Engineering,Research,Master of Technology - M.Tech.,Hostel 13,2004,Thiruvananthapuram,India,Project Manager,ISRO,"Aerospace structure design, testing, acoustics, vibration and testing.",,
136,RS 108,Computer Science & Engineering,Research,Master of Technology - M.Tech.,Hostel 6,1986,Pilani,India,Retired,CSIR-CEERI,"VLSI Design, Embedded Systems, VLSI Systems, HDL-based FPGA Design, CAD Tools, Technical Communication, Project Management, etc.",,
137,RS 109,Electrical Engineering,Research,Bachelor of Technology - B.Tech.,Hostel 7,2016,Pittsburgh,United States,Software Engineer Intern,Uber ATG,R&D in computer vision and machine learning,,
138,RS 110,Chemistry,Research,Master of Science - M.Sc. / S.M.,Hostel 6,1995,HYDERABAD,India,Senior Patent Analyst,Momentive Performance Materials,"""I have worked in Pharma and Polymer Industry for 5.7 yrs as Scientist and shifted to Intellectual Property Rights and currently working in this field since Oct 2006. Always excited to work in an environment where intellectual property is considered",,
139,RS 111,Electrical Engineering,Research,Master of Technology - M.Tech.,Hostel 1,2014,College Park,United States,PhD Candidate,University of Maryland,I am completing my PhD in cryptography from UMD College Park.,,
140,RS 112,Systems & Control Engineering,Research,Master of Technology - M.Tech.,Hostel 14,2013,Minneapolis,United States,PhD Candidate,"Nano Dynamics Systems Lab, University of Minnesota","I'm doing my PhD in the areas of mathematical modelling and analysis, bio-physics, control systems. I have worked in the semiconductor industry (Cypress Semiconductor) for 2 years.",,
141,RS 113,Mechanical Engineering,Research,Dual Degree - B. Tech. & M. Tech.,Hostel 4,2006,San Jose,United States,Principal Hardware Engineer,Wester Digital,Professionally and academically trained mechanical engineer with more than 8 years of research and development experience in consumer electronics industry. Major expertise lies in leading cross-functional teams to develop and deliver the engineering,,
142,RS 114,Mechanical Engineering,Research,Dual Degree - B. Tech. & M. Tech.,Hostel 8,2012,Leuven,Belgium,Postdoctoral researcher,KU Leuven,"Bioengineer specialising in orthopaedic biomechanics, with specific focus on upper-limb and lower-limb joints. Completed my DD in Mech from IITB and PhD in Bioengineering from Imperial College London. Currently pursuing my second postdoctoral researc",,
143,DO 109,Mechanical Engineering,Startups and funding,Bachelor of Technology - B.Tech.,Hostel 3,2008,Mumbai,India,Director,Waterfield Advisors,"Startup and venture funding, fintech, consumer brands",,
144,MG 116,Civil Engineering,Strategy consulting,Bachelor of Technology - B.Tech.,Hostel 9,2005,MUMBAI,India,DGM,RELIANCE INFRA - MUMBAI METRO,"CONTRACTS, BD, REGULATORY, LEGAL, STRATEGY, MANAGEMENT",,
145,SC 102,Civil Engineering,Strategy consulting,Dual Degree - B. Tech. & M. Tech.,Hostel 3,2008,Hyderabad,India,"Manager, Strategy",Deloitte Consulting India,Strategy Consulting,,
146,SC 103,Physics,Strategy consulting,Bachelor of Technology - B.Tech.,Hostel 8,2016,Mumbai,India,APAC Regional Project Manager - Singapore,Luxasia - Luxury Goods,Strategy Consulting - 2016 to 2019, Project Manager - 2019 to current,
147,SC 104,Mechanical Engineering,Strategy consulting,Dual Degree - B. Tech. & M. Tech.,Hostel 13,2011,Bangalore,India,Associate Director,Ola (ANI Tech Pvt Ltd),"Corporate Development & Strategy - M&A, Fund-raising, Investments, Corporate Strategy & Strategic Partnerships",,
148,SC 105,Shailesh J. Mehta School of Management,Strategy consulting,Master of Management - M.M. / M.Mgt. / M.Mgmt.,Hostel 12,2016,Bangalore,India,Technology Consultant,Accenture Consulting,"Industrial Experience: Financial Services, Consumer Goods, Oil & Gas, Power Utilities. Functional Experience: Business Consulting, Strategy Consulting, Technology Consulting, Program & Project Management, Product Management Skills: Enterprise Archite",,
